City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,neyshabur,36.2133,58.7958,8.19,58,50,0.6,IR,1712029170
314,uddevalla,58.3478,11.9424,2.92,84,98,4.47,SE,1712029354
315,gisborne,-38.6533,178.0042,17.72,71,23,4.02,NZ,1712028797
316,stabroek,51.3319,4.3713,9.06,86,75,5.14,BE,1712029355
317,champerico,14.3,-91.9167,28.12,71,63,3.23,GT,1712029356
318,polyarnyy,69.1989,33.4478,-7.7,71,100,4.49,RU,1712029357
319,masterton,-40.9597,175.6575,16.05,62,74,2.97,NZ,1712029358
320,lubbenau,51.8667,13.9667,8.57,89,86,5.63,DE,1712029359
321,laguna,38.421,-121.4238,18.08,46,0,0.0,US,1712029359
322,san antonio de pale,-1.4014,5.6325,28.62,78,86,3.61,GQ,1712029360
323,dakhla,23.6848,-15.958,18.19,83,0,7.93,EH,1712029070
324,kokopo,-4.352,152.2633,29.29,68,97,3.1,PG,1712029362
325,menongue,-14.6585,17.691,17.66,94,100,1.01,AO,1712029362
326,magong,23.5654,119.5863,25.34,87,0,6.35,TW,1712029346
327,broken hill,-31.95,141.4333,22.16,36,0,6.78,AU,1712029207
328,nkhata bay,-11.6066,34.2907,22.37,87,100,2.32,MW,1712029365
329,griffith,41.5284,-87.4237,8.5,94,100,2.57,US,1712029228
330,san jose del guaviare,2.5729,-72.6459,24.59,85,80,1.01,CO,1712029366
331,pacific grove,36.6177,-121.9166,15.01,73,0,1.54,US,1712029367
332,aswan,24.0934,32.907,23.45,38,0,3.26,EG,1712029368
333,dwarka,22.2394,68.9678,26.37,63,100,4.49,IN,1712029369
334,sao felix do xingu,-6.6447,-51.995,23.85,97,100,0.6,BR,1712029370
335,opuwo,-18.0607,13.84,20.35,46,84,1.49,NA,1712029371
336,alofi,-19.0595,-169.9187,29.94,74,40,7.72,NU,1712029373
337,beau vallon,-20.4189,57.6953,24.13,78,75,7.72,MU,1712029374
338,el calafate,-50.3408,-72.2768,7.07,84,62,1.55,AR,1712029376
339,coron,11.9986,120.2043,30.17,57,100,6.66,PH,1712029377
340,yarim,14.298,44.3779,14.94,50,100,1.34,YE,1712029378
341,hotaka,36.3396,137.8825,17.5,43,75,2.06,JP,1712029379
342,saint-pierre,-21.3393,55.4781,24.82,83,75,11.83,RE,1712029380
343,murray bridge,-35.1167,139.2667,17.29,59,98,8.26,AU,1712029382
344,namibe,-15.1961,12.1522,22.57,89,71,2.15,AO,1712029383
345,nicoya,10.1483,-85.452,26.2,59,0,1.16,CR,1712029384
346,lycksele,64.5954,18.6735,-14.07,85,20,1.54,SE,1712029385
347,ribeira brava,32.65,-17.0667,18.89,72,37,4.06,PT,1712029385
348,parauapebas,-6.0675,-49.9022,23.74,99,95,0.51,BR,1712029386
349,mount gambier,-37.8333,140.7667,16.18,62,93,5.39,AU,1712029092
350,luwingu,-10.2621,29.9271,17.42,99,100,1.48,ZM,1712029388
351,harstad,68.799,16.5293,-6.58,79,14,2.26,NO,1712029389
